Id,MSSubClass,LotFrontage,LotArea,LotShape,LandContour,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,C (all),FV,RH,RL,RM,BrkTil,CBlock,PConc,Stone,Wood,1.5Fin,1.5Unf,1Story,2.5Unf,2Story,SFoyer,SLvl,Blmngtn,Blueste,BrDale,BrkSide,ClearCr,CollgCr,Crawfor,Edwards,Gilbert,IDOTRR,MeadowV,Mitchel,NAmes,NPkVill,NWAmes,NoRidge,NridgHt,OldTown,SWISU,Sawyer,SawyerW,Somerst,StoneBr,Timber,Veenker,predicted Price
359,80,92.0,6930,2,0,5,4,1958,1958,120.0,1,1.0,5.0,300,294,468,1062,3.0,1352,0,0,1352,0,1,1,0,3,1,2,6,0,1958.0,0.0,1,288,168,0,294,0,0,0,0,7,2006,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1448,60,80.0,10000,3,0,8,5,1995,1996,438.0,2,2.0,7.0,1079,0,141,1220,3.0,1220,870,0,2090,1,0,2,1,3,1,2,8,1,1995.0,1.0,2,556,0,65,0,0,0,0,0,12,2007,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1079,120,37.0,4435,3,0,6,5,2004,2004,169.0,2,2.0,7.0,662,0,186,848,3.0,848,0,0,848,1,0,1,0,1,1,2,3,1,2004.0,1.0,2,420,140,0,0,0,0,0,0,5,2006,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1051,20,73.0,8993,2,0,7,5,2007,2007,0.0,2,2.0,1.0,0,0,1302,1302,3.0,1302,0,0,1302,0,0,2,0,3,1,2,6,0,2007.0,2.0,2,436,0,22,0,0,0,0,0,8,2007,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
239,20,93.0,12030,3,0,8,5,2007,2007,254.0,3,3.0,1.0,0,0,1694,1694,3.0,1694,0,0,1694,0,0,2,0,3,1,2,7,0,2007.0,2.0,3,818,168,228,0,0,0,0,0,12,2007,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
791,120,43.0,3182,3,0,7,5,2005,2006,11.0,2,2.0,7.0,16,0,1129,1145,3.0,1145,0,0,1145,0,0,2,0,2,1,2,5,1,2005.0,2.0,2,397,100,16,0,0,0,0,0,9,2009,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1145,190,60.0,12180,3,0,4,4,1941,1950,0.0,1,2.0,5.0,348,0,324,672,0.0,672,252,0,924,1,0,1,0,2,1,0,5,0,1941.0,0.0,1,280,0,0,0,0,0,0,0,7,2010,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
664,85,90.0,10012,3,0,4,5,1972,1972,0.0,1,2.0,5.0,920,180,38,1138,1.0,1181,0,0,1181,1,0,2,0,3,1,1,6,0,1974.0,1.0,2,588,0,0,180,0,0,0,0,4,2008,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1090,120,37.0,3316,2,0,8,5,2005,2005,0.0,2,2.0,7.0,1039,0,208,1247,3.0,1247,0,0,1247,1,0,1,1,1,1,2,4,1,2005.0,2.0,2,550,0,84,0,0,0,0,0,4,2006,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
76,180,21.0,1596,3,0,4,5,1973,1973,0.0,1,2.0,7.0,462,0,0,462,1.0,526,462,0,988,1,0,1,0,2,1,1,5,0,1973.0,0.0,1,297,120,101,0,0,0,0,0,11,2009,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328957.56
887,90,70.0,8393,3,0,5,5,1959,2005,122.0,1,1.0,2.0,528,0,1098,1626,3.0,1712,0,0,1712,0,0,2,0,4,2,1,8,0,2005.0,2.0,2,588,272,54,0,0,0,0,0,6,2006,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
